LAT,LNG,Name
52.331389,4.868611,A.J. Ernststraat (sneltramhalte)
52.346389,4.917778,Station Amsterdam Amstel
52.299722,4.869722,Amstelveen Centrum (sneltramhalte)
52.338333,4.8575,Amstelveenseweg (metrostation)
52.313056,4.946111,Station Amsterdam Bijlmer ArenA
52.334444,4.868611,De Boelelaan/VU
52.280556,4.851111,Brink (sneltramhalte)
52.306667,4.952222,Bullewijk (metrostation)
52.378889,4.900556,Station Amsterdam Centraal
52.330278,4.956389,Station Diemen Zuid
52.323333,4.936389,Station Duivendrecht
52.341667,4.8925,Europaplein (metrostation)
52.311111,4.984444,Gaasperplas (metrostation)
52.323611,4.973056,Ganzenhoef (metrostation)
52.296111,4.988889,Gein (metrostation)
52.284167,4.859167,Gondel (sneltramhalte)
52.352778,4.834167,Heemstedestraat (metrostation)
52.346389,4.834444,Henk Sneevlietweg (metrostation)
52.298333,4.96,Station Amsterdam Holendrecht
52.395278,4.850556,Isolatorweg (metrostation)
52.3725,4.835278,Jan van Galenstraat (metrostation)
52.316389,4.979444,Kraaiennest (metrostation)
52.316389,4.870278,Kronenburg (sneltramhalte)
52.357222,4.833889,Station Amsterdam Lelylaan
52.286944,4.861389,Marne (sneltramhalte)
52.280833,4.856944,Meent (sneltramhalte)
52.371944,4.901111,Nieuwmarkt (metrostation)
52.401667,4.932222,Noord (metrostation)
52.389167,4.919167,Noorderpark (metrostation)
52.307778,4.8725,Onderuit (sneltramhalte)
52.303056,4.871667,Oranjebaan (sneltramhalte)
52.296111,4.8675,Ouderkerkerlaan (sneltramhalte)
52.331667,4.9175,Overamstel (metrostation)
52.353611,4.890556,De Pijp (metrostation)
52.283056,4.844722,Poortwachter (sneltramhalte)
52.364722,4.833889,Postjesweg (metrostation)
52.336667,4.890556,Station Amsterdam RAI
52.295556,4.974167,Reigersbos (metrostation)
52.371111,4.892778,Rokin (metrostation)
52.282222,4.8325,Sacharovlaan (sneltramhalte)
52.389167,4.838056,Station Amsterdam Sloterdijk
52.34,4.920833,Spaklerweg (metrostation)
52.284722,4.835278,Spinnerij (sneltramhalte)
52.290556,4.863889,Sportlaan (sneltramhalte)
52.318611,4.941389,Strandvliet (metrostation)
52.321667,4.868889,Uilenstede (sneltramhalte)
52.325,4.868889,Van Boshuizenstraat (sneltramhalte)
52.33,4.93,Van der Madeweg (metrostation)
52.326667,4.946389,Venserpolder (metrostation)
52.328333,4.967222,Verrijn Stuartweg (metrostation)
52.360833,4.891111,Vijzelgracht (metrostation)
52.379444,4.838056,De Vlugtlaan (metrostation)
52.3675,4.901667,Waterlooplein (metrostation)
52.361111,4.907778,Weesperplein (metrostation)
52.274444,4.830556,Westwijk (sneltramhalte)
52.3525,4.912778,Wibautstraat (metrostation)
52.338889,4.873056,Station Amsterdam Zuid
52.312222,4.871944,Zonnestein (sneltramhalte)