LNG,LAT,Name
4.926065,52.367972,1e Coehoornstraat
4.874571,52.362531,1e Constantijn Huygensstraat
4.924415,52.361272,1e van Swindenstraat
4.894218,52.353148,2e v.d. Helststraat
4.954558,52.339599,A. Krijtsstraat
4.86056,52.371378,Adm. de Ruijterweg/Jan Evertsenstraat
4.844189,52.369411,Adm. Helfrichstraat
4.889594,52.354852,Albert Cuypstraat
4.827589,52.347284,Aletta Jacobslaan
4.918613,52.363328,Alexanderplein
4.919333,52.363906,Alexanderplein
4.904593,52.355844,Amsteldijk
4.904251,52.349035,Amstelkade/J. Israëlskade
4.919227,52.346983,Amstelstation
4.85716,52.351666,Amstelveenseweg
4.879053,52.351067,Apollolaan
4.86883,52.33162,Arent Janszoon Ernststraat
4.937386,52.376729,Azartplein
4.794798,52.350964,Baden Powellweg
4.916914,52.358841,Beukenweg
4.872773,52.367404,Bilderdijkstraat
4.86644,52.30145,Binnenhof
4.876518,52.374324,Bloemgracht
4.845483,52.377814,Bos en Lommerplein
4.948319,52.342603,Brinkstraat
4.826074,52.380719,Burg. Eliasstraat
4.831512,52.379867,Burg. Fockstraat
4.826807,52.37448,Burg. Rendorpstraat
4.818771,52.3749,Burg. Roëllstraat
4.835554,52.373117,Burg. v.d. Pollstraat
4.812465,52.376407,Burg. van Leeuwenlaan
4.913662,52.358331,Camperstraat
4.901592,52.354462,Ceintuurbaan
4.891348,52.352412,Ferdinand Bolstraat
4.901403,52.377751,Centraal Station
4.853339,52.361556,Corantijnstraat
4.870744,52.355991,Cornelis Schuytstraat
4.891588,52.350867,Cornelis Troostplein
4.893932,52.373665,Dam
4.929434,52.361,Dapperstraat
4.929434,52.361,Dapperstraat
4.86883,52.33426,de Boelelaan Vu
4.870429,52.370569,de Clercqstraat
4.85776,52.377298,De Rijpstraat
4.877123,52.383149,De Wittenkade
4.841706,52.351501,Delflandlaan
4.839977,52.357934,Derkinderenstraat
4.995301,52.355207,Diemerparklaan
4.786343,52.35535,Dijkgraafplein
4.893127,52.341884,Dintelstraat
4.80655,52.376911,Dr. H. Colijnstraat
4.78871,52.349764,Ecuplein
4.851161,52.378933,Egidiusstraat
4.87731,52.368627,Elandsgracht
4.867249,52.370211,Elisabeth Wolffstraat
4.869568,52.352883,Emmastraat
4.847029,52.376277,Erasmusgracht
4.89164,52.341539,Europaplein
4.89178,52.352888,Ferdinand Bolstraat
4.951565,52.365138,Flevopark
4.875425,52.378548,Frederik Hendrikplantsoen
4.898816,52.359466,Frederiksplein
4.877298,52.349021,Gerrit v.d. Veenstraat
4.861733,52.336716,Gustav Mahlerlaan
4.883636,52.384999,Haarlemmerplein
4.833882,52.351472,Heemstedestraat
4.883489,52.35994,Hobbemastraat
4.802321,52.352486,Hoekenes
4.931074,52.353422,Hogeweg
4.850083,52.35154,Hoofddorpplein
4.853401,52.358923,Hoofdweg
4.92456,52.366726,Hoogte Kadijk
4.873157,52.375084,Hugo de Grootplein
4.935574,52.350594,Hugo de Vrieslaan
4.904766,52.341451,Hunzestraat
5.002463,52.352061,IJburg
4.857597,52.340635,IJsbaanpad
4.857868,52.341503,IJsbaanpad
4.783356,52.350322,Inaristraat
4.787271,52.355631,Ingelandenweg
4.94766,52.364655,Insulindeweg
4.866442,52.360471,J.P. Heijestraat
4.876737,52.354936,Jacob Obrechtstraat
4.859006,52.371186,Jan Evertsenstraat
4.838051,52.371187,Jan Tooropstraat
4.848725,52.373123,Jan van Galenstraat
4.838051,52.369662,Jan Voermanstraat
4.938994,52.363936,Javaplein
4.826027,52.357774,Johan Huizingalaan
4.857131,52.378764,K. Doormanstr.
4.810921,52.346341,Kasterleepark
4.920945,52.376158,Kattenburgerstraat
4.892418,52.363842,Keizersgracht
4.843038,52.386045,Kingsfordweg
4.87246,52.366946,Kinkerstraat
4.889031,52.366986,Koningsplein
4.913026,52.377242,Kop Oostelijke Handelskade
4.8705,52.3162,Kronenburg
4.939841,52.347939,Kruislaan
4.816862,52.346493,Laan v. Vlaanderen
4.802672,52.377273,Lambertus Zijlplein
4.930223,52.370506,Leeghwaterstraat
4.882775,52.364113,Leidseplein
4.92606,52.360194,Linneausstraat-Wijttenbachstraat
4.819762,52.377423,Lodewijk van Deysselstraat
4.808888,52.353869,Loius Davidsstraat
4.824724,52.346671,Louwesweg
4.903161,52.351849,Lutmastraat
4.896683,52.342987,Maasstraat
4.855402,52.370892,Marco Polostraat
4.878598,52.378344,Marnixplein
4.876644,52.372358,Marnixstraat
4.896754,52.377928,Martelaarsgracht
4.774281,52.353952,Matterhorn
4.921016,52.363017,Mauritskade
4.81039,52.356411,Meer en Vaart
4.851112,52.370148,Mercatorplein
4.871948,52.346653,Minervaplein
4.940321,52.3617,Molukkenstraat
4.905352,52.367941,Mr. Visserplein
4.932761,52.360593,Muiderpoortstation
4.893069,52.367831,Muntplein
4.879727,52.35658,Museumplein
4.879244,52.381108,Nassaukade
4.965686,52.337472,Nic. Lublinkstraat
4.880825,52.381018,Nieuwe Willemsstraat
4.893388,52.376034,Nieuwezijds Kolk
4.866259,52.346316,Olympiaplein
4.858536,52.345243,Olympiaweg
4.87251,52.30806,Onderuit
4.902277,52.360012,Oosteinde
4.902277,52.360012,Oosteinde
4.87163,52.30272,Oranjebaan
4.803276,52.359347,Osdorpplein
4.875095,52.363081,Overtoom
4.856175,52.357885,Overtoomsesluis
4.917529,52.377015,Passagiers Terminal Amsterdam
4.815593,52.357448,Piet Wiedijkstraat
4.776905,52.352892,Pilatus
4.917089,52.364578,Plantage Badlaan
4.910872,52.366721,Plantage Kerklaan
4.92739,52.365895,Pontanusstraat
4.85324,52.363761,Postjesweg
4.927393,52.356856,Pretoriusstraat
4.884523,52.365013,Prinsengracht
4.876817,52.342964,Prinses Irenestraat
4.879854,52.366173,Raamplein
4.896752,52.366231,Rembrandtplein
4.8595,52.358742,Rhijnvis Feithstraat
4.934268,52.372943,Rietlandpark
4.882011,52.352543,Roelof Hartplein
4.876,52.3719,Rozengracht
4.807622,52.35961,Ruimzicht
4.885794,52.354479,Ruisdaelstraat
4.999695,52.352857,Ruisrietstraat
4.886798,52.352216,Ruysdaelkade
4.891215,52.347675,Scheldestraat
4.958718,52.338736,Schoolstraat
4.803999,52.344968,Sloten
4.818917,52.372787,SLOTERMEER
4.820609,52.375448,Slotermeerlaan
4.969682,52.33676,Sniep
4.943798,52.362179,Soembawastraat
4.887131,52.36094,Spiegelgracht
4.889247,52.368688,Spui
4.879693,52.36321,Stadhouderskade
4.85758,52.349099,Stadionplein
4.838129,52.378785,Station de Vlugtlaan
4.834602,52.357866,Station Lelylaan
4.890354,52.336675,Station RAI
4.837062,52.388183,Station Sloterdijk
4.873723,52.339173,Station Zuid/WTC
4.980436,52.362985,Steigereiland
4.852302,52.358061,Surinameplein
4.867589,52.36595,Ten Katestraat
4.86919,52.32118,Uilenstede
4.906728,52.342487,Uiterwaardenstraat
4.863904,52.353422,Valeriusplein
4.87946,52.358358,van Baerlestraat
4.86903,52.32457,van Boshuizenstraat
4.939051,52.373543,Van Eesterenlaan
4.869917,52.384244,van Hallstraat
4.859082,52.368838,van Kinsbergenstraat
4.875103,52.384341,van Limburg Stirumstraat
4.900582,52.354536,van Woustraat
4.99144,52.357248,Vennepluimstraat
4.905513,52.345794,Victorieplein
4.899378,52.346553,Waalstraat
4.902172,52.367073,Waterlooplein
4.907404,52.361057,Weesperplein
4.884198,52.374013,Westermarkt
4.845525,52.351568,Westlandgracht
4.890832,52.359817,Weteringcircuit
4.909632,52.357303,Wibautstraat
4.863876,52.370565,Willem de Zwijgerlaan
4.85085,52.382828,Wiltzanghlaan
4.85901,52.36478,Witte de Withstraat
4.932694,52.365813,Zeeburgerdijkdijk
4.87234,52.31181,Zonnestein
4.885334,52.388034,Zoutkeetsgracht
4.961583,52.371996,Zuiderzeeweg